init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
276.0,50.441,0.1828,5520.0,0.955,0.1828,0.8172,94,0.9219,50M_50N_10T,Large,5
293.0,26.2698,0.0897,5430.0,0.9766,0.0897,0.9103,90,0.9189,50M_50N_10T,Large,6
262.0,24.3685,0.093,5850.0,0.9638,0.093,0.907,100,0.9287,50M_50N_10T,Large,7
313.0,44.3764,0.1418,5120.0,0.9394,0.1418,0.8582,96,0.9299,50M_50N_10T,Large,8
252.0,40.1192,0.1592,5940.0,0.9414,0.1592,0.8408,96,0.9309,50M_50N_10T,Large,9
265.0,44.7084,0.1687,6020.0,0.9163,0.1687,0.8313,99,0.9339,50M_50N_10T,Large,10
242.0,48.261,0.1994,4570.0,0.9423,0.1994,0.8006,75,0.9049,50M_50N_10T,Large,11
313.0,34.1924,0.1092,6060.0,0.9352,0.1092,0.8908,95,0.9279,50M_50N_10T,Large,12
281.0,63.4538,0.2258,5450.0,0.9253,0.2258,0.7742,93,0.9249,50M_50N_10T,Large,13
284.0,35.5116,0.125,5920.0,0.9457,0.125,0.875,94,0.9507,50M_50N_10T,Large,14
286.0,37.5019,0.1311,5560.0,0.9221,0.1311,0.8689,92,1.0509,50M_50N_10T,Large,15
288.0,34.2256,0.1188,6280.0,0.9767,0.1188,0.8812,100,0.9337,50M_50N_10T,Large,16
278.0,42.5024,0.1529,4530.0,0.9024,0.1529,0.8471,78,1.4779,50M_50N_10T,Large,17
277.0,53.1106,0.1917,5690.0,0.9965,0.1917,0.8083,91,0.9199,50M_50N_10T,Large,18
245.0,51.8499,0.2116,5380.0,1.0,0.2116,0.7884,93,0.9239,50M_50N_10T,Large,19
285.0,46.2299,0.1622,6520.0,0.9864,0.1622,0.8378,96,0.9289,50M_50N_10T,Large,20
272.0,46.2028,0.1699,5560.0,0.9703,0.1699,0.8301,104,0.9429,50M_50N_10T,Large,21
291.0,52.6494,0.1809,5940.0,0.9195,0.1809,0.8191,96,0.9957,50M_50N_10T,Large,22
266.0,56.2315,0.2114,5440.0,0.9252,0.2114,0.7886,95,0.9259,50M_50N_10T,Large,23
278.0,38.2534,0.1376,5700.0,0.9048,0.1376,0.8624,97,0.9319,50M_50N_10T,Large,24
278.0,75.5431,0.2717,4700.0,0.8577,0.2717,0.7283,85,0.9109,50M_50N_10T,Large,25
271.0,27.367,0.101,5180.0,0.9811,0.101,0.899,91,0.9159,50M_50N_10T,Large,26
301.0,36.0046,0.1196,5640.0,0.9707,0.1196,0.8804,94,0.9229,50M_50N_10T,Large,27
267.0,63.9609,0.2396,5320.0,0.9383,0.2396,0.7604,98,0.9229,50M_50N_10T,Large,28
253.0,23.9806,0.0948,5620.0,0.9445,0.0948,0.9052,93,0.9169,50M_50N_10T,Large,29
284.0,60.9485,0.2146,4750.0,0.7983,0.2146,0.7854,81,1.0549,50M_50N_10T,Large,30
295.0,77.7888,0.2637,5130.0,0.9413,0.2637,0.7363,89,1.1829,50M_50N_10T,Large,31
301.0,54.4954,0.181,6450.0,0.9556,0.181,0.819,109,0.9429,50M_50N_10T,Large,32
268.0,51.6781,0.1928,5080.0,0.8866,0.1928,0.8072,84,0.9139,50M_50N_10T,Large,33
266.0,62.1365,0.2336,4990.0,0.9224,0.2336,0.7664,82,1.0249,50M_50N_10T,Large,34
250.0,61.2214,0.2449,5020.0,0.7918,0.2449,0.7551,83,1.4627,50M_50N_10T,Large,35
293.0,53.704,0.1833,4120.0,0.8879,0.1833,0.8167,83,1.0929,50M_50N_10T,Large,36
240.0,38.7508,0.1615,5840.0,0.9799,0.1615,0.8385,103,0.9329,50M_50N_10T,Large,37
269.0,85.8971,0.3193,4500.0,0.7993,0.3193,0.6807,82,0.9149,50M_50N_10T,Large,38
251.0,51.3579,0.2046,5690.0,0.8767,0.2046,0.7954,96,0.9249,50M_50N_10T,Large,39
285.0,41.5139,0.1457,5450.0,0.8665,0.1457,0.8543,90,0.9147,50M_50N_10T,Large,40
275.0,41.8525,0.1522,5130.0,0.868,0.1522,0.8478,85,0.9079,50M_50N_10T,Large,41
281.0,76.1277,0.2709,5500.0,0.9244,0.2709,0.7291,96,0.9209,50M_50N_10T,Large,42
277.0,77.2987,0.2791,5200.0,0.8696,0.2791,0.7209,85,1.0429,50M_50N_10T,Large,43
273.0,84.2133,0.3085,4960.0,0.7786,0.3085,0.6915,81,0.9489,50M_50N_10T,Large,44
271.0,52.5822,0.194,5320.0,0.9002,0.194,0.806,92,0.9403,50M_50N_10T,Large,45
283.0,65.002,0.2297,6140.0,0.9388,0.2297,0.7703,94,0.9279,50M_50N_10T,Large,46
300.0,46.6394,0.1555,5670.0,0.9403,0.1555,0.8445,97,0.9289,50M_50N_10T,Large,47
282.0,49.5569,0.1757,6250.0,0.9889,0.1757,0.8243,102,0.9389,50M_50N_10T,Large,48
283.0,55.4651,0.196,6190.0,0.9687,0.196,0.804,103,0.9369,50M_50N_10T,Large,49
